text,star,app_id,reviewDate,model_score,grammr_score
Anathi Khanyile,5,com.fingersoft.hillclimb,18/03/21,11924.07,0.0
Tony bahut funny hai Hill climbing racing my favourite game,5,com.fingersoft.hillclimb,18/03/21,2675.8074,0.0
Teturwu,1,com.fingersoft.hillclimb,18/03/21,10662.137,0.0
Hoooooooooooyaaaaaaaaa what a game hooooooooooooyaaaaaaaa,5,com.fingersoft.hillclimb,18/03/21,53.69351,89.26129837036133
This game is nice,5,com.fingersoft.hillclimb,18/03/21,191.87361,61.62527770996093
Rahulyadavo,5,com.fingersoft.hillclimb,18/03/21,2475.3062,0.0
"First thing is that I like this game, it's fantastic and amazing. Though I rate it 4 stars cuz it's right pedal stops working in the game and that's why I kept falling on the bridge.",4,com.fingersoft.hillclimb,18/03/21,52.055805,89.58883895874024
Very taty,3,com.fingersoft.hillclimb,18/03/21,534.71533,0.0
good,5,com.fingersoft.hillclimb,18/03/21,,0.0
I LIKE THIS GAME,5,com.fingersoft.hillclimb,18/03/21,295.80447,40.839105224609376
Racing,5,com.fingersoft.hillclimb,18/03/21,7190.4316,0.0
 ,5,com.fingersoft.hillclimb,18/03/21,,0.0
Awesome game. easy to use options.,5,com.fingersoft.hillclimb,18/03/21,158.27287,68.34542541503906
Very noob game,1,com.fingersoft.hillclimb,18/03/21,2069.5886,0.0
Hill climb racing 2 vip game,5,com.fingersoft.hillclimb,18/03/21,6940.281,0.0
Good games,4,com.fingersoft.hillclimb,18/03/21,6374.8184,0.0
I is so oosem game,5,com.fingersoft.hillclimb,18/03/21,1158.6991,0.0
Good game,3,com.fingersoft.hillclimb,18/03/21,2247.7815,0.0
All right for the price you pay.,4,com.alibaba.aliexpresshd,18/03/21,63.947807,87.21043853759765
"I like the app, it works really well. It is a much better experience then the website.",5,com.alibaba.aliexpresshd,18/03/21,21.668695,95.66626091003418
Chicago,5,com.alibaba.aliexpresshd,18/03/21,,0.0
Please add dark amoled theme,4,com.alibaba.aliexpresshd,18/03/21,16715.258,0.0
Very easy to use and my delivery was quick and very well protected. Thank you! A+,5,com.alibaba.aliexpresshd,18/03/21,35.52914,92.89417190551758
Awesome,4,com.alibaba.aliexpresshd,18/03/21,,0.0
Excelent Best of all,5,com.alibaba.aliexpresshd,18/03/21,1086.8162,0.0
